"count","Year","Month","Day","Hour"
9.81591263651,2014,8,23,16
9.70380925473,2014,8,23,17
9.46395273134,2014,8,23,18
4.43894259707,2014,8,23,19
0.082400776346,2014,8,23,20
0.0076651884973,2014,8,23,21
0.00111783998919,2014,8,23,22
0.0737774392865,2014,8,23,23
5.3352015183,2014,8,25,8
14.1538074121,2014,8,25,9
20.4754597271,2014,8,25,10
23.4014166472,2014,8,25,11
25.8121291781,2014,8,25,12
26.2466372671,2014,8,25,13
23.4575650743,2014,8,25,14
22.9309442063,2014,8,25,15
22.5577223089,2014,8,25,16
22.3001001142,2014,8,25,17
21.748891373,2014,8,25,18
10.2010315452,2014,8,25,19
0.189363322564,2014,8,25,20
0.0176151927967,2014,8,25,21
0.00256888228285,2014,8,25,22
0.169546230668,2014,8,25,23
6.42902944464,2014,8,26,8
17.0556340364,2014,8,26,9
24.673357328,2014,8,26,10
28.1991966293,2014,8,26,11
31.1041556623,2014,8,26,12
31.6277469996,2014,8,26,13
28.2668566585,2014,8,26,14
27.6322674954,2014,8,26,15
27.1825273011,2014,8,26,16
26.872087167,2014,8,26,17
26.2078691022,2014,8,26,18
12.2924564227,2014,8,26,19
0.228186765266,2014,8,26,20
0.0212266758387,2014,8,26,21
0.00309555689314,2014,8,26,22
0.204306754947,2014,8,26,23
5.71469283968,2014,8,27,8
15.1605635879,2014,8,27,9
21.9318731804,2014,8,27,10
25.0659525594,2014,8,27,11
27.6481383665,2014,8,27,12
28.1135528886,2014,8,27,13
25.1260948076,2014,8,27,14
24.5620155515,2014,8,27,15
24.1622464899,2014,8,27,16
23.886299704,2014,8,27,17
23.2958836464,2014,8,27,18
10.9266279313,2014,8,27,19
0.202832680236,2014,8,27,20
0.0188681563011,2014,8,27,21
0.00275160612724,2014,8,27,22
0.181606004398,2014,8,27,23
5.00035623472,2014,8,28,8
13.2654931394,2014,8,28,9
19.1903890329,2014,8,28,10
21.9327084894,2014,8,28,11
24.1921210707,2014,8,28,12
24.5993587775,2014,8,28,13
21.9853329566,2014,8,28,14
21.4917636076,2014,8,28,15
21.1419656786,2014,8,28,16
20.900512241,2014,8,28,17
20.3838981906,2014,8,28,18
9.56079943985,2014,8,28,19
0.177478595207,2014,8,28,20
0.0165096367634,2014,8,28,21
0.00240765536133,2014,8,28,22
0.158905253848,2014,8,28,23
5.17894038596,2014,8,29,8
13.7392607515,2014,8,29,9
19.8757600698,2014,8,29,10
22.7160195069,2014,8,29,11
25.0561253946,2014,8,29,12
25.4779073053,2014,8,29,13
22.7705234194,2014,8,29,14
22.2593265935,2014,8,29,15
21.8970358814,2014,8,29,16
21.6469591067,2014,8,29,17
21.1118945545,2014,8,29,18
9.9022565627,2014,8,29,19
0.183817116464,2014,8,29,20
0.0170992666478,2014,8,29,21
0.00249364305281,2014,8,29,22
0.164580441485,2014,8,29,23
2.52250113627,2014,8,30,8
6.69196752122,2014,8,30,9
9.68086589605,2014,8,30,10
11.0642681219,2014,8,30,11
12.2040610758,2014,8,30,12
12.4094979547,2014,8,30,13
11.0908152862,2014,8,30,14
10.841827177,2014,8,30,15
